"","WorldID","spines","no_spines","extinct","extant","plant_richness","MeanTemp","legthDry","meanBA","continent","country","perc_spines","perc_no_spines"
"325",12176,2,20,13,0,22,15.8696329509082,7.21111111111111,0.009243486,"OC","Australia",0.0909090909090909,0.909090909090909
"327",12178,3,15,13,0,18,14.7974847335699,11.9555555555556,0.002795176,"OC","Australia",0.166666666666667,0.833333333333333
"328",12179,5,35,13,0,40,15.0663149744728,12,0.000499589,"OC","Australia",0.125,0.875
"329",12180,1,27,12,0,28,16.0010931393422,11.9222222222222,0.002175698,"OC","Australia",0.0357142857142857,0.964285714285714
"330",12181,1,12,12,0,13,16.5458254410951,11.0111111111111,0.006054844,"OC","Australia",0.0769230769230769,0.923076923076923
"331",12182,0,6,12,0,6,16.5727978970297,10.4111111111111,0.002341008,"OC","Australia",0,1
"332",12183,0,4,12,0,4,16.3224849357517,10.2111111111111,0.010547728,"OC","Australia",0,1
"334",12195,0,9,6,1,9,16.1842658422044,11.8777777777778,NA,"OC","Australia",0,1
"335",12196,2,21,7,1,23,16.1782108435208,11.9888888888889,0.001003318,"OC","Australia",0.0869565217391304,0.91304347826087
"336",12197,1,20,7,1,21,16.4822706563757,12,0.002340313,"OC","Australia",0.0476190476190476,0.952380952380952
"337",12198,1,10,8,1,11,16.7321636122666,12,0.000682689,"OC","Australia",0.0909090909090909,0.909090909090909
"338",12199,2,16,9,1,18,16.0443654680835,12,0.00017826,"OC","Australia",0.111111111111111,0.888888888888889
"339",12200,1,14,9,1,15,16.4060550422843,12,0.000173842,"OC","Australia",0.0666666666666667,0.933333333333333
"340",12201,1,10,7,1,11,17.581949500571,12,0.000333727,"OC","Australia",0.0909090909090909,0.909090909090909
"342",12203,2,12,6,1,14,17.6571177635718,12,0.000823716,"OC","Australia",0.142857142857143,0.857142857142857
"346",12207,1,17,9,3,18,16.8291895006775,12,0.005262522,"OC","Australia",0.0555555555555556,0.944444444444444
"347",12208,1,18,8,3,19,16.391429633613,12,0.006187741,"OC","Australia",0.0526315789473684,0.947368421052632
"348",12209,0,11,10,3,11,15.1466666341192,12,0.000905031,"OC","Australia",0,1
"349",12210,1,11,22,3,12,12.4167507654301,12,0.000643544,"OC","Australia",0.0833333333333333,0.916666666666667
"351",12212,0,4,21,3,4,18.2587155762069,6.43333333333333,0.002199801,"OC","Australia",0,1
"354",12351,6,0,5,1,6,0.565516972862311,9.84444444444444,0.001435782,"AM","Argentina",1,0
"355",12352,7,0,14,1,7,16.3581712656919,12,0.000319179,"AM","Argentina",1,0
"364",12361,4,1,24,0,5,17.7425693963781,5,0.000104658,"AM","Argentina",0.8,0.2
"365",12362,12,12,23,0,24,17.7692438391992,4.8,3.22e-06,"AM","Argentina",0.5,0.5
"370",12367,4,6,25,1,10,17.6275077828655,2.16666666666667,2.1e-05,"AM","Brazil",0.4,0.6
"384",12536,2,13,13,0,15,17.3373611118323,7.77777777777778,0.002544396,"OC","Australia",0.133333333333333,0.866666666666667
"385",12537,3,10,13,0,13,15.7436110620881,9.58888888888889,0.015425101,"OC","Australia",0.230769230769231,0.769230769230769
"386",12538,3,13,13,0,16,15.7812962143509,12,0.001090096,"OC","Australia",0.1875,0.8125
"387",12539,5,18,12,0,23,15.8361033165161,12,0.002218167,"OC","Australia",0.217391304347826,0.782608695652174
"388",12540,3,27,12,0,30,15.7240662959623,12,0.001221982,"OC","Australia",0.1,0.9
"389",12541,1,22,12,0,23,16.0495292645914,12,0.038599742,"OC","Australia",0.0434782608695652,0.956521739130435
"390",12542,0,20,12,0,20,16.3504396908813,12,0.004309917,"OC","Australia",0,1
"391",12543,0,7,12,0,7,16.2327546127784,12,0.030307396,"OC","Australia",0,1
"392",12544,0,9,12,0,9,16.3454706375246,12,0.020013954,"OC","Australia",0,1
"396",12556,1,15,7,1,16,17.078803992345,12,0.003541935,"OC","Australia",0.0625,0.9375
"398",12558,1,14,8,1,15,17.6352391814008,12,0.000118317,"OC","Australia",0.0666666666666667,0.933333333333333
"399",12559,2,20,9,1,22,15.6965046109977,12,4.94e-05,"OC","Australia",0.0909090909090909,0.909090909090909
"400",12560,0,6,7,1,6,16.6942438146214,12,NA,"OC","Australia",0,1
"401",12561,0,9,6,1,9,18.2936265502447,12,NA,"OC","Australia",0,1
"402",12562,0,4,6,1,4,18.2422453989217,12,0.000446785,"OC","Australia",0,1
"403",12563,1,12,5,1,13,18.1196140755842,12,NA,"OC","Australia",0.0769230769230769,0.923076923076923
"406",12566,0,12,5,1,12,17.8682021536209,12,0.001292648,"OC","Australia",0,1
"407",12567,0,17,7,2,17,17.3913348470205,12,0.0021171,"OC","Australia",0,1
"408",12568,0,8,7,2,8,17.1168595956431,12,0.001016997,"OC","Australia",0,1
"409",12569,1,21,12,3,22,15.7005864199297,12,0.001632738,"OC","Australia",0.0454545454545455,0.954545454545455
"410",12570,0,22,21,3,22,13.1171450578872,12,0.000930889,"OC","Australia",0,1
"412",12572,0,24,23,3,24,17.7639429137295,6.97777777777778,0.002507131,"OC","Australia",0,1
"413",12573,0,10,13,3,10,19.1756558846544,4.95555555555556,0.001609563,"OC","Australia",0,1
"416",12711,5,1,2,1,6,3.18647196516075,11.1222222222222,NA,"AM","Argentina",0.833333333333333,0.166666666666667
"418",12713,6,1,16,1,7,19.0169393408707,11.9666666666667,0.000823959,"AM","Argentina",0.857142857142857,0.142857142857143
"420",12715,7,0,20,0,7,17.2796261491805,8.54444444444444,0.019013429,"AM","Argentina",1,0
"421",12716,5,0,20,0,5,14.7701635235938,7,0.002837869,"AM","Argentina",1,0
"425",12720,5,0,27,0,5,18.1413161598633,5,4.1e-05,"AM","Argentina",1,0
"427",12722,16,16,26,0,32,18.1748441981378,4.76666666666667,0.000457558,"AM","Argentina",0.5,0.5
"428",12723,2,3,24,1,5,18.042647979564,4.02222222222222,0.000133152,"AM","Uruguay",0.4,0.6
"431",12726,8,4,26,0,12,17.4260202418235,1.77777777777778,NA,"AM","Brazil",0.666666666666667,0.333333333333333
"432",12727,6,2,26,0,8,17.6350545461304,1.54444444444444,5.18e-05,"AM","Brazil",0.75,0.25
"443",12807,3,1,10,9,4,14.7814330000744,11.6,0.01450101,"AF","South Africa",0.75,0.25
"445",12809,4,1,7,5,5,18.2765420521531,7.5,0.006408788,"AF","South Africa",0.8,0.2
"448",12897,4,23,13,1,27,16.7170171135311,9.55555555555556,0.019660353,"OC","Australia",0.148148148148148,0.851851851851852
"449",12898,1,14,13,1,15,17.0322741552305,12,0.001047119,"OC","Australia",0.0666666666666667,0.933333333333333
"450",12899,3,30,12,1,33,17.0483411387862,12,0.001021036,"OC","Australia",0.0909090909090909,0.909090909090909
"451",12900,0,5,11,1,5,16.750101227998,12,0.001959938,"OC","Australia",0,1
"452",12901,0,4,12,1,4,16.8866433130246,12,0.010297057,"OC","Australia",0,1
"453",12902,1,13,12,1,14,17.0955918643333,12,0.003765972,"OC","Australia",0.0714285714285714,0.928571428571429
"456",12905,0,4,4,0,4,17.2095170977702,12,0.009775986,"OC","Australia",0,1
"457",12906,0,9,4,0,9,17.1366432201825,12,0.000635331,"OC","Australia",0,1
"458",12907,1,15,4,0,16,17.2838161144673,12,NA,"OC","Australia",0.0625,0.9375
"459",12908,0,6,0,0,6,17.1885978297652,12,NA,"OC","Australia",0,1
"463",12914,0,4,7,1,4,17.0199144312897,12,4.56e-05,"OC","Australia",0,1
"464",12915,0,5,7,1,5,17.6210513936396,12,0.004156461,"OC","Australia",0,1
"465",12916,0,16,7,1,16,17.6455762935947,12,0.002303428,"OC","Australia",0,1
"466",12917,0,11,6,1,11,18.0036136520243,12,NA,"OC","Australia",0,1
"467",12918,1,12,7,1,13,18.1783099692187,12,NA,"OC","Australia",0.0769230769230769,0.923076923076923
"468",12919,2,13,8,1,15,16.5899298737725,12,NA,"OC","Australia",0.133333333333333,0.866666666666667
"469",12920,1,7,5,1,8,17.5301947055205,12,NA,"OC","Australia",0.125,0.875
"471",12922,1,11,5,1,12,18.5260745405037,12,NA,"OC","Australia",0.0833333333333333,0.916666666666667
"472",12923,1,4,5,1,5,18.7965809480424,12,NA,"OC","Australia",0.2,0.8
"476",12927,0,4,5,2,4,17.4573676259347,12,0.00024867,"OC","Australia",0,1
"478",12929,0,24,11,3,24,16.9814174759796,12,0.002585837,"OC","Australia",0,1
"479",12930,1,24,17,3,25,15.4679516791555,12,0.000627129,"OC","Australia",0.04,0.96
"481",12932,0,16,23,3,16,16.0949610395966,8.71111111111111,0.001870559,"OC","Australia",0,1
